date,week,year,carrier,route,buses,passengers,date_parsed,month,quarter,week_of_year,day_of_year,month_name
8/2 - 12/2,Week 6,2021,Martz,commuter,13.0,462.0,2021-02-08,2.0,1.0,6,39.0,February
8/2 - 12/2,Week 6,2021,NJ Transit,commuter,2043.0,26683.0,2021-02-08,2.0,1.0,6,39.0,February
8/2 - 12/2,Week 6,2021,Greyhound,intercity,34.0,869.0,2021-02-08,2.0,1.0,6,39.0,February
8/2 - 12/2,Week 6,2021,Academy,commuter,35.0,582.0,2021-02-08,2.0,1.0,6,39.0,February
8/2 - 12/2,Week 6,2021,Lakeland,commuter,12.0,271.0,2021-02-08,2.0,1.0,6,39.0,February
15/2 - 19/2,Week 7,2021,Coach USA,commuter,81.0,1461.0,2021-02-15,2.0,1.0,7,46.0,February
15/2 - 19/2,Week 7,2021,Peter Pan/Bonanza,intercity,9.0,300.0,2021-02-15,2.0,1.0,7,46.0,February
15/2 - 19/2,Week 7,2021,HCEE - Community,commuter,73.0,885.0,2021-02-15,2.0,1.0,7,46.0,February
15/2 - 19/2,Week 7,2021,Trailways,intercity,9.0,222.0,2021-02-15,2.0,1.0,7,46.0,February
15/2 - 19/2,Week 7,2021,TransBridge,commuter,12.0,341.0,2021-02-15,2.0,1.0,7,46.0,February
15/2 - 19/2,Week 7,2021,NJ Transit,commuter,2281.0,27430.0,2021-02-15,2.0,1.0,7,46.0,February
15/2 - 19/2,Week 7,2021,Academy,commuter,35.0,623.0,2021-02-15,2.0,1.0,7,46.0,February
15/2 - 19/2,Week 7,2021,Lakeland,commuter,12.0,271.0,2021-02-15,2.0,1.0,7,46.0,February
15/2 - 19/2,Week 7,2021,Martz,commuter,13.0,446.0,2021-02-15,2.0,1.0,7,46.0,February
15/2 - 19/2,Week 7,2021,Greyhound,intercity,34.0,848.0,2021-02-15,2.0,1.0,7,46.0,February
22/2 - 26/2,Week 8,2021,HCEE - Community,commuter,78.0,1117.0,2021-02-22,2.0,1.0,8,53.0,February
22/2 - 26/2,Week 8,2021,Peter Pan/Bonanza,intercity,9.0,240.0,2021-02-22,2.0,1.0,8,53.0,February
22/2 - 26/2,Week 8,2021,TransBridge,commuter,12.0,310.0,2021-02-22,2.0,1.0,8,53.0,February
22/2 - 26/2,Week 8,2021,Trailways,intercity,10.0,225.0,2021-02-22,2.0,1.0,8,53.0,February
22/2 - 26/2,Week 8,2021,Coach USA,commuter,83.0,1522.0,2021-02-22,2.0,1.0,8,53.0,February
22/2 - 26/2,Week 8,2021,NJ Transit,commuter,2077.0,27440.0,2021-02-22,2.0,1.0,8,53.0,February
22/2 - 26/2,Week 8,2021,Martz,commuter,13.0,455.0,2021-02-22,2.0,1.0,8,53.0,February
