date,year,month,week_of_year,sarima_forecast,rf_forecast,ensemble_forecast,date_key,month_name,quarter_name,day_of_year,is_peak_month,is_low_month
2026-10-05,2026,10,41,107216.24669095656,102707.06208333332,104961.65438714494,20261005,October,Q4,278,1,0
2026-10-12,2026,10,42,109525.80566212228,102614.51372619046,106070.15969415638,20261012,October,Q4,285,1,0
2026-10-19,2026,10,43,110480.37520852716,102598.23039285713,106539.30280069215,20261019,October,Q4,292,1,0
2026-10-26,2026,10,44,110859.52321547247,102652.302,106755.91260773623,20261026,October,Q4,299,1,0
2026-11-02,2026,11,45,114613.5388204242,101333.15699999999,107973.34791021209,20261102,November,Q4,306,0,1
2026-11-09,2026,11,46,109631.85261618393,101169.602,105400.72730809197,20261109,November,Q4,313,0,1
2026-11-16,2026,11,47,113980.45384190396,40233.887,77107.17042095198,20261116,November,Q4,320,0,1
2026-11-23,2026,11,48,110547.91346769159,34349.567,72448.74023384579,20261123,November,Q4,327,0,1
2026-11-30,2026,11,49,110855.43513667872,49056.982,79956.20856833935,20261130,November,Q4,334,0,1
2026-12-07,2026,12,50,102297.62473776782,66679.562,84488.59336888391,20261207,December,Q4,341,0,1
2026-12-14,2026,12,51,111361.52236945344,23933.722,67647.62218472672,20261214,December,Q4,348,0,1
2026-12-21,2026,12,52,111095.06149010433,12039.115,61567.08824505217,20261221,December,Q4,355,0,1
2026-12-28,2026,12,53,110684.24962108869,15916.325,63300.28731054434,20261228,December,Q4,362,0,1
2027-01-04,2027,1,1,109744.78184404012,94460.655,102102.71842202006,20270104,January,Q1,4,0,0
2027-01-11,2027,1,2,107823.00368572475,96189.875,102006.43934286237,20270111,January,Q1,11,0,0
2027-01-18,2027,1,3,107906.20038651054,96185.835,102046.01769325527,20270118,January,Q1,18,0,0
2027-01-25,2027,1,4,108301.848211802,95179.185,101740.51660590101,20270125,January,Q1,25,0,0
2027-02-01,2027,2,5,113331.66494556359,96788.035,105059.8499727818,20270201,February,Q1,32,0,0
2027-02-08,2027,2,6,111905.61248789911,98039.19,104972.40124394956,20270208,February,Q1,39,0,0
2027-02-15,2027,2,7,116067.90566165822,97049.84,106558.87283082912,20270215,February,Q1,46,0,0
2027-02-22,2027,2,8,116051.794095682,97804.095,106927.944547841,20270222,February,Q1,53,0,0
2027-03-01,2027,3,9,117777.40658098797,99575.51,108676.45829049399,20270301,March,Q1,60,0,0
2027-03-08,2027,3,10,113599.58492635461,99821.32,106710.45246317731,20270308,March,Q1,67,0,0
2027-03-15,2027,3,11,116518.72647921595,101042.5,108780.61323960798,20270315,March,Q1,74,0,0
2027-03-22,2027,3,12,115484.77359254532,101233.53,108359.15179627266,20270322,March,Q1,81,0,0
2027-03-29,2027,3,13,115950.41522819934,101068.36,108509.38761409967,20270329,March,Q1,88,0,0
2027-04-05,2027,4,14,117645.33840600055,101684.45833333331,109664.89836966693,20270405,April,Q2,95,0,0
2027-04-12,2027,4,15,111261.42062667945,101731.03333333333,106496.22698000638,20270412,April,Q2,102,0,0
2027-04-19,2027,4,16,114714.20907848993,101242.97333333333,107978.59120591162,20270419,April,Q2,109,0,0
2027-04-26,2027,4,17,32089.824073491065,102587.84333333332,67338.8337034122,20270426,April,Q2,116,0,0
2027-05-03,2027,5,18,26595.742856944133,102856.1050595238,64725.923958233965,20270503,May,Q2,123,0,0
2027-05-10,2027,5,19,115545.98447053137,102625.96622619047,109085.97534836092,20270510,May,Q2,130,0,0
2027-05-17,2027,5,20,113622.04279180357,102637.14789285715,108129.59534233036,20270517,May,Q2,137,0,0
2027-05-24,2027,5,21,32348.921943080903,102665.52122619048,67507.2215846357,20270524,May,Q2,144,0,0
2027-05-31,2027,5,22,28016.933151439378,103818.51833333334,65917.72574238636,20270531,May,Q2,151,0,0
2027-06-07,2027,6,23,104725.29991245415,103456.8175,104091.05870622708,20270607,June,Q2,158,0,0
2027-06-14,2027,6,24,107682.15853178433,103196.2175,105439.18801589217,20270614,June,Q2,165,0,0
2027-06-21,2027,6,25,102898.87920008806,100415.785,101657.33210004403,20270621,June,Q2,172,0,0
2027-06-28,2027,6,26,105403.0142923366,99343.445,102373.2296461683,20270628,June,Q2,179,0,0
2027-07-05,2027,7,27,111513.93286588983,94274.18,102894.05643294491,20270705,July,Q3,186,0,0
2027-07-12,2027,7,28,106241.87544718073,101400.8675,103821.37147359036,20270712,July,Q3,193,0,0
2027-07-19,2027,7,29,109415.88274310806,104346.31875,106881.10074655403,20270719,July,Q3,200,0,0
2027-07-26,2027,7,30,110972.95496777559,104915.52875,107944.24185888779,20270726,July,Q3,207,0,0
2027-08-02,2027,8,31,111215.41184916372,102973.37864285713,107094.39524601042,20270802,August,Q3,214,1,0
2027-08-09,2027,8,32,113759.96813234953,102932.44030952381,108346.20422093666,20270809,August,Q3,221,1,0
2027-08-16,2027,8,33,113283.96395545105,102927.05530952381,108105.50963248743,20270816,August,Q3,228,1,0
2027-08-23,2027,8,34,113186.88337698653,103032.86364285713,108109.87350992183,20270823,August,Q3,235,1,0
2027-08-30,2027,8,35,114013.6543275958,102961.23864285713,108487.44648522646,20270830,August,Q3,242,1,0
2027-09-06,2027,9,36,115422.21547613863,102732.35864285713,109077.28705949787,20270906,September,Q3,249,1,0
2027-09-13,2027,9,37,111894.10190226101,102892.88949999999,107393.49570113051,20270913,September,Q3,256,1,0
